s0,s10,s90,s90d
91,67,88,7
41,31,7,0
94,67,76,9
94,72,74,5
95,87,81,14
101,79,91,10
83,62,52,6
93,69,121,13
104,68,106,18
50,46,19,0
149,110,109,15
104,70,104,18
85,62,85,8
88,69,59,10
98,86,109,19
56,46,17,1
48,39,14,0
109,83,109,17
93,57,86,16
41,27,11,3
46,33,12,0
93,52,66,5
15,12,5,2
104,98,112,16
112,74,123,16
99,71,83,14
106,76,97,10
110,75,84,8
92,57,62,7
104,71,91,15
22,14,8,0
90,75,78,11
100,76,80,8
92,75,86,1
122,113,125,12
59,59,91,12
48,33,16,2
51,31,13,3
100,69,107,11
91,60,68,7
97,71,81,19
97,70,106,23
44,30,9,0
97,75,106,8
36,21,18,2
57,40,5,2
35,30,8,0
15,16,1,4
106,87,130,13
98,69,61,8
100,65,79,10
17,15,2,0
89,74,86,10
99,74,73,10
59,34,16,2
49,36,8,0
109,90,104,11
11,11,4,0
34,32,7,1
106,86,149,24
96,66,81,14
71,66,42,6
85,61,65,0
35,16,11,0
93,76,97,13
89,68,74,11
99,70,84,12
102,78,97,17
112,45,12,0
99,80,82,5
98,73,85,18
87,57,80,8
92,66,72,10
83,69,57,12
34,27,16,3
83,64,58,6
82,62,40,4
46,28,14,0
99,66,100,19
96,92,78,11
114,71,120,10
87,65,77,12
34,19,12,1
44,39,11,0
91,66,73,5
47,30,14,0
91,67,79,11
31,26,3,2
110,73,108,20
27,22,22,2
100,71,79,6
42,31,13,0
100,69,80,6
44,27,13,0
96,63,69,14
111,87,134,17
99,66,101,21
12,16,15,3
110,71,103,8
93,70,70,7
91,83,75,8
83,29,18,0
96,72,104,7
76,41,23,1
92,65,64,16
104,72,94,14
115,83,150,19
95,70,78,9
102,81,112,13
95,83,74,7
35,26,8,5
93,67,91,13
38,19,9,0
104,82,114,17
82,67,89,19
97,66,74,11
60,29,7,3
98,67,60,8
103,79,113,20
33,28,14,2
85,65,77,11
114,84,143,31
125,110,162,19
29,25,8,2
106,75,74,7
104,70,101,23
42,28,17,2
29,28,14,0
104,72,93,15
112,78,104,20
44,31,16,2
107,78,98,5
28,24,15,0
97,92,64,5
98,61,80,13
94,83,71,11
36,20,8,2
119,77,118,16
112,81,127,16
86,64,59,3
35,20,10,3
99,82,86,7
104,67,92,7
101,60,114,9
98,75,132,11
54,40,9,2
91,66,81,7
106,78,119,11
110,79,117,25
51,34,17,1
85,63,67,2
91,78,113,7
97,67,73,13
100,69,78,16
91,83,112,20
101,69,107,10
45,36,5,2
93,76,76,12
101,74,80,1
98,75,98,12
80,42,22,5
101,74,116,9
100,87,104,12
101,76,90,19
109,75,64,17
90,74,75,8
30,26,5,0
42,31,17,1
119,106,143,20
86,62,58,3
95,85,88,6
30,24,7,0
109,76,114,13
98,75,101,8
31,22,6,2
90,66,80,7
102,68,108,17
97,62,83,13
129,114,125,19
93,63,62,13
101,50,123,10
100,74,113,17
97,75,109,2
104,78,89,12
51,33,8,0
91,76,94,15
119,80,129,13
47,28,9,0
46,26,10,2
96,66,75,6
125,95,144,22
89,60,56,7
42,37,16,2
35,33,4,1
49,29,10,0
82,62,73,8
96,66,96,9
112,60,103,8
91,63,73,9
109,88,105,16
81,64,44,4
107,77,151,28
87,74,88,15
97,69,96,12
38,27,10,2
109,73,119,10
109,78,116,18
102,71,150,17
11,11,8,0
32,31,4,1
98,67,82,11
118,92,150,23
85,72,89,16
98,63,93,13
31,22,9,3
111,98,68,8
108,91,107,14
54,31,21,6
77,65,53,2
87,71,78,9
100,75,72,14
92,67,80,6
93,79,104,12
109,73,108,7
113,84,131,10
99,63,108,14
96,70,88,6
56,32,11,0
107,84,100,8
115,70,118,7
88,77,102,22
116,76,114,14
49,23,11,0
97,77,87,4
37,29,14,3
100,87,103,17
108,79,116,10
9,8,27,0
116,85,117,19
32,26,6,0
97,65,67,10
112,80,119,13
103,79,103,10
96,68,62,16
43,39,11,4
52,29,16,0
92,69,104,11
113,82,121,6
32,19,7,3
101,71,96,9
81,65,76,4
96,63,76,7
44,23,12,1
34,32,11,4
122,106,117,12
87,66,75,10
94,78,85,13
91,52,21,1
90,69,108,7
95,65,76,8
106,73,94,5
92,70,71,7
45,33,12,5
96,62,90,8
130,123,181,24
105,73,75,10
89,63,78,16
30,26,8,4
122,81,141,18
108,78,96,23
83,71,107,21
103,53,113,11
105,64,59,12
91,70,120,10
104,57,21,4
41,31,10,0
43,35,8,1
100,71,83,6
106,76,77,12
89,62,74,2
105,86,96,8
85,78,135,10
98,68,80,14
109,84,148,30
93,77,68,16
98,85,88,20
101,83,102,20
106,48,31,1
107,80,110,9
98,59,73,9
103,74,119,27
24,23,10,4
112,75,118,28
41,31,22,0
14,13,6,2
117,87,150,23
100,66,97,4
39,36,7,6
79,60,71,3
19,26,17,0
101,81,111,13
33,26,10,1
130,109,110,15
100,78,86,16
100,73,70,11
41,41,4,0
81,28,25,0
89,78,58,7
90,46,29,2
96,63,93,8
59,50,15,0
111,73,85,8
142,121,197,35
113,87,118,20
112,78,117,15
59,54,20,0
91,81,80,3
97,63,79,11
43,30,17,3
