red_flag,s0,s10,s90,s90d
0,102,73,84,13
1,32,22,6,0
1,37,27,17,1
0,100,61,100,22
2,102,77,133,19
1,39,27,9,0
0,92,72,89,14
0,97,59,98,13
1,32,22,8,1
1,99,49,15,1
2,112,71,132,14
0,84,68,66,10
1,32,28,11,3
1,93,57,29,6
0,99,69,80,12
1,45,34,10,3
0,89,75,82,7
0,103,73,88,11
0,78,76,71,14
0,99,68,72,18
2,111,69,119,12
0,96,68,57,5
0,86,72,94,13
0,96,71,62,7
0,98,68,63,8
0,94,66,76,5
1,28,26,5,0
0,106,68,83,7
1,42,31,14,2
0,91,69,69,8
2,104,71,106,22
2,95,64,117,11
2,104,88,140,14
0,96,70,61,8
0,92,60,69,7
0,107,73,90,18
1,40,40,5,0
0,76,58,50,6
1,30,23,8,1
1,57,25,13,0
2,103,86,131,17
0,86,63,71,9
0,101,62,98,7
0,102,78,77,3
2,118,81,130,13
1,37,27,5,0
1,13,16,9,3
1,40,41,10,0
0,103,87,94,16
0,87,69,68,4
1,12,11,8,1
0,88,73,90,6
1,42,37,6,0
1,29,22,16,2
1,92,51,24,0
1,28,17,14,1
0,93,63,63,7
2,127,53,112,27
2,100,86,101,15
2,116,80,128,20
2,114,85,160,15
0,92,67,69,15
0,108,80,93,22
0,105,79,98,17
0,98,70,88,11
2,106,77,117,15
0,87,67,75,12
0,95,83,83,12
0,94,73,84,8
0,79,57,65,11
0,89,71,45,6
2,110,69,120,13
0,98,79,80,11
2,108,67,108,14
2,104,88,121,12
2,115,84,137,17
0,99,84,84,11
0,90,70,76,11
1,86,46,21,2
0,100,71,93,11
0,81,58,59,5
1,30,22,10,3
1,40,36,11,0
0,97,103,60,9
2,94,90,128,21
1,36,26,5,0
0,100,65,79,7
2,103,77,106,5
2,99,79,111,16
1,41,31,5,2
1,40,29,7,0
1,46,37,5,0
0,97,78,59,13
1,40,34,16,0
2,98,79,125,11
2,108,66,119,24
1,55,31,14,0
2,111,88,104,18
0,103,76,82,13
2,123,49,107,29
1,35,26,7,3
0,89,66,82,4
1,59,43,20,0
1,84,45,24,2
0,110,75,94,18
1,67,24,16,0
1,37,30,6,0
2,99,86,104,17
0,90,57,85,13
1,42,30,5,1
2,111,89,99,11
0,69,60,53,6
2,103,73,114,4
1,88,48,29,1
2,109,78,109,14
0,98,63,98,12
2,100,65,102,10
0,80,63,58,7
2,103,84,123,12
